epoch,training_loss,training_acc,val_loss,val_acc
94,0.017395222232060487,0.99441016,0.3806233661515372,0.88727677
95,0.017645296606585193,0.99432725,0.40148578797067913,0.86904764
96,0.017565726442406195,0.99441016,0.40832932932036264,0.84970236
97,0.019230922362448315,0.99392915,0.6114943793841771,0.8489583
98,0.020083431581558106,0.99416137,0.3039116050515856,0.89285713
99,0.01817473674858844,0.99455947,0.3407016949994223,0.8813244
100,0.02528615329792029,0.99353105,1.043028976236071,0.71168154
101,0.07086713536798948,0.9805268,1.7346937656402588,0.7094494
102,0.045573095441425134,0.9868299,0.4591432682105473,0.8895089
103,0.033814348833240415,0.98979896,0.46611022523471285,0.8723958
104,0.030059089750599465,0.9901307,0.48650180867740084,0.82068455
105,0.020351052577184912,0.99324906,0.4964544687952314,0.8191964
106,0.019015485589977527,0.99416137,0.3784398947443281,0.9155506
107,0.01621091530705019,0.9952229,0.3837839194706508,0.86272323
108,0.014950529123449944,0.9952727,0.6090163333075387,0.8087798
109,0.013915594496674706,0.9961186,0.549477641071592,0.8046875
110,0.012035149547248629,0.9961684,0.5137388493333545,0.8344494
111,0.013069288306237438,0.9955049,0.4066587005342756,0.8857887
112,0.012619712283791669,0.99621814,0.4300923688071115,0.83407736
113,0.014132585025215996,0.99537224,0.3515916296413967,0.8578869
114,0.013865935460943876,0.9954717,0.44399593131882803,0.85119045
115,0.024426951262099626,0.99285096,0.6224188804626465,0.79464287
116,0.02302048755045921,0.9935974,0.5298629573413304,0.80282736
117,0.0181032464382384,0.99497414,0.43457402501787457,0.8958333
118,0.014189014070991548,0.99610204,0.32932476912225994,0.9103423
119,0.01233250022759983,0.9962845,0.4657194699559893,0.83668154
120,0.011811349121955665,0.9964006,0.4666932097503117,0.8735119
121,0.010625978274642846,0.9964172,0.3264848675046648,0.89397323
122,0.012364873978770731,0.99605227,0.3757543819291251,0.89657736
123,0.010168345253153167,0.9970475,0.3932771810463497,0.89099705
124,0.012168782972853507,0.9963508,0.4684331289359501,0.8389137
125,0.012435206136146076,0.99625134,0.517349111182349,0.8634673
126,0.012345191265029924,0.9962016,0.5210026843207223,0.84151787
127,0.011425786971813068,0.99646693,1.0004213878086634,0.7470238
128,0.012639536875004251,0.9960191,0.4510649229798998,0.8843006
129,0.02942806213498553,0.99251926,0.5828989701611655,0.76525295
130,0.018690592499163817,0.99389595,0.5082569250038692,0.8084077
131,0.01642983309856663,0.9945097,0.49132620862552095,0.8385417
132,0.013253093298395458,0.995903,0.47264535086495535,0.8165923
133,0.01527810215304074,0.9956376,0.35770236594336374,0.8947173
134,0.011625147012295388,0.99648356,0.371196631874357,0.9125744
135,0.011847001351212662,0.9965665,0.579661454473223,0.83147323
136,0.009539543726607737,0.99681526,0.5131366040025439,0.79873514
137,0.009483005051874521,0.9970309,0.3864764017718179,0.86755955
138,0.00979257599203358,0.9971636,0.36622502548354013,0.9036458
139,0.011815383541601663,0.9965167,0.41596594878605436,0.84821427
140,0.011633946202318318,0.99648356,0.5992631954806191,0.8165923
141,0.011976949209030377,0.9966826,0.3344692587852478,0.9025298
142,0.011934023364426666,0.99645036,0.3128036856651306,0.91331846
143,0.013639721771379433,0.99610204,0.34331513728414265,0.8891369
144,0.012117265751996432,0.9965167,0.38005705390657696,0.85714287
145,0.012817793516176746,0.9964338,0.44358489768845694,0.83258927
146,0.011939492500228173,0.99673235,0.423101191009794,0.8630952
147,0.011387291667830188,0.9965499,0.4583873919078282,0.8504464
148,0.010340086268706437,0.99681526,0.7412954824311393,0.7920387
149,0.018469659695719707,0.99452627,0.3284082923616682,0.9129464
150,0.013004097015897975,0.99605227,0.3826515333993094,0.8660714
151,0.009292735042870578,0.9967821,0.34255538667951313,0.8630952
152,0.010030826837603733,0.99669915,0.4026555504117693,0.8552827
153,0.009763362852177675,0.9969978,0.42334355626787457,0.90178573
154,0.010369239078720092,0.99661624,0.36911381993974957,0.89397323
155,0.01224073307690027,0.99636745,0.42854045970099314,0.8515625
156,0.00935182733381596,0.99681526,0.37273683292525156,0.88244045
157,0.007591390129071523,0.99762803,0.4287576036793845,0.8660714
158,0.008731759520336837,0.9974456,0.454927533864975,0.83147323
159,0.010249079619182333,0.9967821,0.7335322669574192,0.7410714
160,0.010252948642287004,0.99673235,0.4685676523617336,0.8426339
161,0.009619496805736295,0.9970475,0.5136561904634748,0.83370537
162,0.007997604843746854,0.9975949,0.4577036883149828,0.85863096
163,0.008285462264738834,0.99749535,0.463702563728605,0.80543154
164,0.007515049317653451,0.997711,0.4459876673562186,0.8582589
165,0.009762436883972157,0.9970309,0.9286500641277858,0.77678573
166,0.01726368878160568,0.9954717,0.49340552517345976,0.84300596
167,0.016894728502564155,0.9953888,0.787922739982605,0.7879464
168,0.0128902872901777,0.9964172,0.430885374546051,0.87686014
169,0.00956009433680178,0.99701434,0.47911660586084637,0.81063986
170,0.008764219055326072,0.9971968,0.3894084649426596,0.88095236
171,0.007843895792566806,0.9976944,0.4388593946184431,0.87462795
172,0.007272829726566003,0.9977608,0.32267156669071745,0.90290177
173,0.006608415265913742,0.99805933,0.6988405670438494,0.8448661
174,0.009345338236711843,0.9975119,0.3437071740627289,0.8936012
175,0.009362088280256687,0.99709725,0.548083850315639,0.83556545
176,0.008608298648031433,0.99777734,0.7467614752905709,0.7708333
177,0.010832463031324464,0.9967489,0.46437269023486544,0.83519346
178,0.010777333777812044,0.9969978,0.5492588324206216,0.78980654
179,0.015497155218494948,0.9961518,0.4559993829045977,0.86495537
180,0.01239506219989942,0.9962679,0.5131220604692187,0.8623512
181,0.007060110385609617,0.99762803,0.376913709299905,0.8798363
182,0.007558075214506438,0.9977939,0.34573996918542044,0.9114583
183,0.006277856847527279,0.99805933,0.3867578165871756,0.90178573
184,0.007558003969441728,0.9977276,0.39469738943236216,0.859375
185,0.008268894137652253,0.99762803,0.48483810680253164,0.8400298
186,0.008108916959705531,0.99746215,0.5209917426109314,0.80431545
187,0.007336306424775242,0.9979598,0.6195955617087228,0.81473213
188,0.007238107691950885,0.9981091,0.8911164317812238,0.7217262
189,0.007169002367829747,0.99797636,0.4199760173048292,0.85491073
190,0.008376664950724928,0.9978769,0.6022332736424038,0.7693452
191,0.008116612015716557,0.99752855,0.6067843011447361,0.85081846
192,0.007860175186598912,0.9976944,0.5270841632570539,0.7953869
193,0.007648348286426887,0.9977608,0.4643888090338026,0.8802083
194,0.006351195121525707,0.99814224,0.5825796553066799,0.78571427
195,0.007862389080713864,0.9977276,0.48420235940388273,0.84040177
196,0.009052463092244858,0.99709725,0.5728858709335327,0.78980654
197,0.017710523816659027,0.9954054,0.4855497820036752,0.81026787
198,0.015063624459933716,0.9958035,0.6831806216921125,0.78943455
199,0.011388015827865304,0.9967987,0.5707259774208069,0.7782738
200,0.007953588939310478,0.99734604,0.5590811882700238,0.82589287
201,0.006343700383961726,0.99817544,0.5167665098394666,0.8154762
202,0.00540343308336276,0.9984906,0.5744171440601349,0.8173363
203,0.005060499882845552,0.9982749,0.47294752512659344,0.8177083
204,0.005140285706005624,0.99850714,0.6371871403285435,0.7927827
205,0.00714435497929215,0.9982086,0.8326857430594308,0.75
206,0.00971277553915014,0.99721336,0.4087358159678323,0.84970236
207,0.007869744737379902,0.9977608,0.4671499558857509,0.85119045
208,0.009197123626722859,0.99746215,0.4702796850885664,0.8165923
209,0.00895618433883767,0.997429,0.7278824533735003,0.75855654
210,0.008114386270631112,0.99752855,0.634253978729248,0.7879464
211,0.006641208923725386,0.9980759,0.5316883964197976,0.8255208
